,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
386,"In addition to democracy, safeguarded constitution, there should also be separation of powers.",01 Health and Safety,Threatened,constitution,,safeguarded,constitution,Democracy/Government,safeguarded,Protection,3120506,,
165,These cry baby gun control advocates are always crying wolf and every gun gets nastier and more evil to them.,01 Health and Safety,Threat,gun,,evil,gun,Guns,evil,Monster,3791670,,
1720,"For those owners that already are educated in the regulations (AKA pilots/owners) and understand what it takes to maintain and fly a safe aircraft, this new regulation would be a breeze.",13 Nature: Weather,Weather,regulation,[weather] be a breeze,breeze,regulation,Bureaucracy,breeze,Natural Physical Force,,,
440,"$20,000 minimum new money advanced at closing.",02 Journey,Agent,money,,advanced,money,Wealth,advanced,Forward Movement,3017650,,
47,"it really matters not because there are over 300 million guns legally owned in the USA. there is no evidence that any gun law would decrease crime and most of those that are proposed by anti gun extremists will make things worse. then again most gun laws are designed to harass gun owners, not impede criminals",01 Health and Safety,Protection,gun law,,decrease,gun law,Control of Guns,decrease,Downward Movement,2717853,,
483,Deliver him from the bondage of being a beggar.,02 Journey,Barrier,being a beggar,,bondage,beggar,Poverty,bondage,Confinement/Enslavement,164348,,
265,Taxpayers are addicted to consumer television which reintroduced discredited nineteenth century laissez-faire liberalism and neo-feudalism on a society whose common sense lacked proper understanding of words.,01 Health and Safety,Threatened,Taxpayers,,addicted,Taxpayers,Taxation,addicted,Addiction,2377722,,
563,there has been no evidence that those who can get guns legally (there are still tons of red tape) are doing that Most of it is from the same mopes who were causing crime before. what we do know is that there is a paucity of evidence that the anti gun nuts are able to find in the USA that demonstrate that gun bans or restrictions decrease crime. that's why those turds mainly try to apply other countries' statistics to the USA which never have any useful information,03 Conflict,Aid,gun bans,,decrease,gun bans,Control of Guns,decrease,Downward Movement,2711995,,
84,The Senate is a bulwark against an avalanche of really extreme legislation.,01 Health and Safety,Protection,Senate,,bulwark,Senate,Government,bulwark,Protection,1971149,,
451,"Share Opinions of presidential hopeful Rudolph Giuliani vary at Chelsea's West Side Rifle and Pistol Range: The staff and customers describe the former mayor's gun control journey as everything from ""opportunistic"" to ""realistic.""",02 Journey,Agent,gun control,,journey,gun control,Control of Guns,journey,Journey,2377572,,
1445,"Popularity justifies any behavior, and for this reason no social or moral standards withstand the assault of democracy.",06 Morality and Justice,Criminal,democracy,,assault,democracy,Democracy,assault,Physical Harm,2666539,,
1368,"NEW YORK (CNN/Money) - ""Americans' overall income shrank for two consecutive years after stocks plunged in 2000, the first time that has effectively happened since the current tax system was put in place during World War II, according to a published report Thursday...",05 Engineering and Business: Resource,Resource,income,,shrank,income,Wealth,shrank,Downward Movement,2562834,,
813,"It was not a person the Occupy Wilmington group mourned, but what they call the downfall of democracy.",03 Conflict,Loser,democracy,,downfall,democracy,Democracy,downfall,Downward Movement/Struggle,761048,,
259,"Democracy Besieges Iraq The pro-occupation Washington Times began their coverage of today's illigitmate 'election-under-occupation' in Iraq with these words,",01 Health and Safety,Threat,Democracy,,Besieges,Democracy,Democracy,Besieges,Struggle/War,1973342,,
65,Just because a kid's stupid and irresponsible enough to steal a gun doesn't make law abiding gun owners forced to swallow your gun control pill.Ã¯»ØŸ,01 Health and Safety,Protection,gun control,,pill,gun control,Control of Guns,pill,Medicine,3123500,,
1549,Strategies of Transformation Toward a Multicultural Society: Fulfilling the Story of Democracy,07 Systematic Explanations,Topic,democracy,story of [topic],story of,democracy,Democracy,story,Story,,,
1462,There IS an attempt to steal this election.,06 Morality and Justice,Property,election,,steal,election,Elections,steal,Theft,723963,,
1668,"Oh, yea, and don't forgetâ€_ a mountain of ammo to go with them.",12 High and Low,Scale,ammo,,mountain,ammo,Guns,mountain,Hazardous Geographic Feature,3726146,,
1304,Taxes are a pillar of capitalism.,05 Engineering and Business: Engineering,Component,Taxes,,pillar,Taxes,Taxation,pillar,Building,164515,,
1040,It is a huge psychological victory for gun control and government that literally spells the end of firearm ownership when all opposition accepts gun control.,03 Conflict,Winner,gun control,,victory,gun control,Control of Guns,victory,Struggle,2724904,,
239,The Death Tax is killing American family business,01 Health and Safety,Threat,Death Tax,,killing,Death Tax,Taxation,killing,Physical Harm,2659641,,
1528,"Henry Paulson, former Treasury Secretary, wanted for bamboozling the US Congress and robbing the taxpayer of $700 billion under false pretenses.",06 Morality and Justice,Victim,taxpayer,,robbing,taxpayer,Taxation,robbing,Theft,124104,,
897,"I may be wrong here, but that's what I assume... Thank you!! It frustrates me that those who fight for ultimate gun rights deny this kind of stuff.",03 Conflict,Side,gun rights,,fight,gun rights,Gun Rights,fight,Struggle,2138386,,
1572,"This, fellow Americans, was the Roar of Democracy, the Voice of Freedom, the Will of the People and the Soul of the Country.",09 Animals,Wild Animal,democracy,roar of [wild animal],roar of,democracy,Democracy,roar,Animal,760900,,
257,"The corporation income tax damages the corporation, an invention of man that is indispensable to the maximum production of wealth.",01 Health and Safety,Threat,income tax,,damages,income tax,Taxation,damages,Struggle,2468023,,
137,"If facilitated to grow in a strategic manner, tourism could also play a leading role in wealth creation as well as in poverty alleviation, Nhema said.",01 Health and Safety,Threat,poverty,,alleviation,poverty,Poverty,alleviation,Disease/Medicine,58534,,
1311,If that is true then gun control supports genocide.,05 Engineering and Business: Engineering,Component,gun control,,supports,gun control,Control of Guns,supports,Building,2160548,,
715,Consumer-Driven Culture Is Killing Our Democracy,03 Conflict,Enemy,Democracy,,Killing,Democracy,Democracy,killing,Physical Harm,2665426,,
1148,"Democracy hasn't saved many of these counties, so why must the United States continue to persist in democracy domination of the world?",04 Power and Control: Human,Leader,democracy,,domination,democracy,Democracy,domination,Enslavement/Leader,1966953,,
1292,"The four pillars of ILO's work, namely rights at work (without them, men and women will not be empowered to escape from poverty); employment (the principal route out of poverty is productive work); social protection (safeguards against poverty); and social dialogue (the participation of employers' and workers' organizations in shaping government policy for poverty reduction); are mutually reinforcing in addressing poverty reduction.",05 Engineering and Business: Engineering,Built,government policy,,shaping,government policy,Government,shaping,Shape,1952968,,
266,In plain English the Senator means that taxpayers need to part with more of their limited income to feed the ever growing spending addiction of the legislature.,01 Health and Safety,Threatened,legislature,,addiction,legislature,Bureaucracy/Government,addiction,Addiction,152834,,
241,"Cyclists carried banners with slogans like ""Money Kills"" as they cycled slowly into the city center, bringing traffic around the imposing Bank of England to a standstill.",01 Health and Safety,Threat,Money,,Kills,Money,Wealth,Kills,Physical Harm,434071,,
1289,"This is an innovative and interactive online community forum for people involved in working with Public Service Agreement (PSA16) client groups to share ideas and information, and help shape government policy.",05 Engineering and Business: Engineering,Built,government policy,,shape,government policy,Government,shape,Shape,1600134,,
67,"As government relief proved to be increasingly inadequate and inappropriate, private charity provided a vital life-line for the starving Irish poor.",01 Health and Safety,Protection,government,,relief,government,Government,relief,Medicine,761966,,
643,I use that loosely as there is no real strategy or objective for firearm owners in fighting gun control.,03 Conflict,Conflict,gun control,,fighting,gun control,Control of Guns,fighting,Struggle,2174239,,
